epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,5067.22,0.9515,1.63085,0.83066,1.10051,0.82425,0.71485,0.76994,0.548,0.80667,0.68982,0.72547,0.42521,1.01472,1.69106,1.03186,1.19035,0.0003169,0.0003169,0.0003169
71,5141.11,0.94474,1.61698,0.8398,1.1022,0.8168,0.71471,0.78144,0.56495,0.80663,0.70129,0.74557,0.43886,1.00971,1.7405,1.02294,1.18481,0.000307,0.000307,0.000307
72,5214.99,0.92884,1.59661,0.82849,1.09016,0.8008,0.6958,0.76791,0.54754,0.77726,0.67427,0.7233,0.43266,1.04826,1.72328,1.01452,1.19674,0.0002971,0.0002971,0.0002971
73,5288.27,0.94049,1.60957,0.82856,1.09679,0.83811,0.71601,0.78082,0.55779,0.81184,0.70546,0.73707,0.43705,1.04055,1.72724,1.00579,1.20194,0.0002872,0.0002872,0.0002872
74,5361.75,0.93224,1.58736,0.81141,1.08522,0.82221,0.69387,0.76597,0.55182,0.82007,0.67308,0.73163,0.43865,1.04308,1.75037,1.03346,1.20047,0.0002773,0.0002773,0.0002773
75,5435.97,0.91582,1.58091,0.80279,1.08417,0.77138,0.72462,0.7634,0.55025,0.78005,0.68652,0.72927,0.44285,1.03016,1.73494,1.01435,1.20729,0.0002674,0.0002674,0.0002674
76,5510.54,0.91704,1.57309,0.79927,1.08262,0.78876,0.70527,0.75873,0.5372,0.76066,0.68051,0.71367,0.41823,1.0196,1.77096,1.04632,1.18616,0.0002575,0.0002575,0.0002575
77,5584.29,0.90512,1.56377,0.78629,1.0797,0.79674,0.75656,0.77712,0.56152,0.77044,0.73448,0.73284,0.43619,1.01828,1.79751,1.00132,1.18943,0.0002476,0.0002476,0.0002476
78,5656.94,0.90445,1.5666,0.78689,1.07816,0.78292,0.71676,0.76649,0.55087,0.75252,0.7178,0.73418,0.43801,1.0219,1.73719,1.03785,1.19609,0.0002377,0.0002377,0.0002377
79,5729.37,0.91154,1.56008,0.79483,1.07931,0.7811,0.69731,0.76318,0.54992,0.76957,0.69105,0.72367,0.43055,1.00248,1.7437,1.04865,1.18078,0.0002278,0.0002278,0.0002278
